company|description|position|reviews|City|State
Progressive|"Data Analyst II/III Forecasting Models & Tools

Corporate Planning has an opportunity for a person that enjoys variety of work, a team environment where we play to our strengths, simplifying & automating processes and functionality, & interacting with savvy internal customers. Corporate Planning Analysts uniquely own and manage forecast systems, tools, and the companywide forecasting process. We encourage you join to our team if you're an ANALYST with programming aptitude who would like to switch to the BI DEVELOPER track. The Goal for this person is to become a BI DEVELOPER, with on-the-job training, class training, self-study, and experience.

Responsibilities

Review Forecasts for Relevance
Create and Maintain Business Forecast Reports for Executives
Maintain and Enhance Forecasting Excel Tools and Applications such as the Foresight Application, the Review File, the Frequency Model, PEOPL, and the Long-Term Plan to improve forecasting.
Collaborate with Planning Team and Planners to design solutions and improve usability.
Learn and apply Best Practices for Application Development.
Learn and leverage BI Developer Tools such as Microsoft SQL Server Management Studio, SSIS, MDX
Monitor and improve Tool Performance


Must have qualifications



Bachelor's degree in a related field of study (Finance, Mathematics, Accounting, Economics, Statistics or Actuarial Sciences) and two years of property casualty insurance experience or analytical work experience in a professional setting
Instead of a degree, five years of property casualty insurance experience with related analytical experience (such as analytical work in a professional setting)
This position requires online pre-employment testing for external candidates


Preferred Qualifications



Advanced Excel skills (Pivots, Match and Index functions, Automation)
Intermediate SQL Skills
Object Oriented Programming (Visual Basic, VBA, Java, Python) Training, Course Work, or Experience
Innovative problem solver with a proven ability to learn quickly
Ability to identify and organize steps then think through end-to-end before starting a task
Self-starter that can meet deadlines and work in a fast pace environment
Excellent written communication and strong collaborative skills


What we also look for



Forecasting or Planning Experience
Experience creating automated Excel worksheets that connect people to data.
Requirements Writing or Testing Experience
Achieved an Outstanding or Extraordinary performance evaluation in the past 2 years


Our company



Gainshare bonus up to 24% of your eligible earnings; Progressive rewards each of us with an annual bonus based on company performance
401(k) with dollar-for-dollar company match up to 6%
Diverse, inclusive and welcoming culture with Employee Resource Groups
Career development and tuition assistance
Onsite gym and healthcare at large locations
Wellness programs to help you maintain a better quality of life
Medical, dental and vision, including free preventive care


Sponsorship is not available for this position. Progressive generally does not sponsor foreign national candidates for work authorization except for positions that in Progressive's determination require highly specialized knowledge and for which candidate sponsorship is appropriate.

Equal Opportunity EmployerSDL2017"|senior data analyst|0|Mayfield Heights| Cuyahoga, OH
RevSpring, Inc|"The Insights Analyst position will be based in the Newark, Ohio office. He or she will focus most of their time finding insightful trends in the data, and then using those findings to help drive data-driven decisions. The Insights Analyst role will be part of the Analytics Department, working alongside Data Scientists and Reporting Analysts. If you are weird, smart, and love data, please apply!

Job Responsibilities

Program Reviewso The Insights Analyst role is client-facing (50%).o Perform analyses on some of RevSpring’s largest clients in addition to assisting in proprietary research.o Use your data analysis skills to dive into the data and find ways to help clients improve their program. o Present your findings and recommendations to clients on a quarterly basis.Client Supporto Participate in client calls and make recommendations, as well as fulfill ad-hoc requests.Marketing Insightso Discover insightful trends that can be used in whitepapers, case studies and infographics.o Support other marketing requests as needed.

Basic Qualifications

Bachelor’s degree

2-5 years of relevant experience

SAS and/or SQL experience required

o If you have experience in other data analysis software(s), this requirement can be waived

At least one year in a client facing role preferred

Healthcare experience is helpful, but not required

An ideal candidate will have the following qualities:

A natural sense of curiosity, and an effective problem solver

A quantitative whiz who loves data

Excellent oral and written communication skills with the ability to influence others by clearly communicating business and technical issues.

Self-sufficient, ready to roll up your sleeves, and not afraid of ambiguity

Demonstrated ability to work collaboratively with cross functional teams

Proficiency in presenting conclusions and recommendations to clients

Demonstrated analytical skills with accuracy and thoroughness – must be extremely detail oriented

Ability to perform in a fast paced environment handling multiple projects simultaneously under tight deadlines

Prior experience working with large, unstructured datasets

Job Type: Full-time

Experience:

relevant: 2 years (Preferred)

Work Location:

One location

Benefits:

Health insuranceDental insuranceVision insurancePaid time offRetirement planParental leaveTuition reimbursement
"|data analyst|1|Newark| OH
Cincom Systems, Inc.|"Cincom’s Intelligent Selling Solutions group is looking for a Senior Data Analyst in the US to join its global development team to develop and maintain its new Configure, Price, and Quote and other Cloud products.

The person needs an ability to share and communicate ideas verbally, both orally and in writing, to executive staff, business sponsors, and technical resources in clear concise language that is the parlance of each group. This person will take the guesswork out of business decisions and help the entire organization thrive. The data analyst must be an effective bridge between different teams by analyzing new data, combining different reports, and translating the outcomes. The person will work in teams addressing statistical, machine learning and data understanding problems in a commercial SaaS product development environment. In this role, they will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.

Position Title: Senior Data Analyst (CPQ 7.0 and other Cloud Projects)

Experience Required:

10+ years of experience in data mining, data classification and data analytics including using BI tools and technologies (Microsoft Power BI, Tableau, IBM Cognos Analytics, SiSense, Qlik, Birst, Google Analytics, etc)

Experience with and knowledge of data warehouse and OLAP principles

Qualitative & Quantitative Market Research, Analytical techniques, Statistical modeling, Analytical technology, Data interpretation / insight analysis, Data visualization, Insight storytelling, Desk research, Programming (Python, SQL, R or other), Quality assurance and testing.

Proven working experience as a data analyst and business intelligence analyst

Technical expertise regarding data models, database design development, data mining and segmentation techniques

Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.)

Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, JavaScript, or ETL frameworks)

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Adept at queries, report writing and presenting findings

Job Skills Required:

Technical Skills: Use complex computer programs to mine data sources and look for trends.

Analytical Skills: Determine what data trends mean. Being able to analyze the data is crucial.

Communication Skills: Communicate their findings to the company or their managers.

Problem-Solving Skills: Look at the data trends and recommend solutions for creating more revenue and reducing loss.

Time Management Skills: Data Analysts work on large projects and many data streams and many deadlines. Being able to juggle it all is crucial to the job.

SDLC Skills: Experience with entire software development life cycle (must have experience delivering products to market)

Job Description

Cleaning and organizing raw data.

Using descriptive statistics to get a big-picture view of their data.

Analyzing interesting trends found in the data.

Creating visualizations and dashboards to help the company interpret and make decisions with the data.

Presenting the results of a technical analysis to business clients or internal teams.

Evaluating statistical models to determine the validity of analyses.

Using data science and machine learning to build better predictive algorithms.

Using Artificial intelligence to interpret events, support and automate decisions, and to take actions

Architect the Logical Data Warehouse in Cincom consisting of ODS, Data Marts, Data Lakes and Data Warehouses.

Testing and continuously improving the accuracy of machine learning models.

Building data visualizations to summarize the conclusion of an advanced analysis.

Integrating external or new datasets into existing data pipelines.

Applying feature transformations for machine learning models on new data.

Continuously monitoring and testing the system to ensure optimized performance.

Preferred Experience

Demonstrated awareness of feature extraction and real-time analytics methods

Demonstrated awareness of analytic prototyping, analytic scale-up, analytic scaling, and solutions integration

Demonstrated skill in the use of one or more analytic software tools or languages (e.g., SAS, SPSS, R, Python)

Demonstrated skill in the use of one or more data mining tools/frameworks/languages

Demonstrated skill in the use of one or more data classification tools/frameworks/languages

Demonstrated skill at data cleansing, data quality assessment, and using analytics for data assessment

Demonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial datasets

Education Level:

Bachelor’s Degree in a STEM major (Science, Technology, Engineering, Mathematics) OR Bachelor’s degree in business, management, accounting, economics, statistics, information science or similar

About Cincom Systems

Cincom delivers and supports innovative software and services to simplify complex business processes. For more than 40 years, Cincom has enabled thousands of clients worldwide it increase revenue, control cost, and achieve rapid ROI. At Cincom, we are actively seeking self-motivated people who welcome the excitement of seizing new opportunities and turning them into solid realities.

…..an equal opportunity employer

U.S. Citizenship Required

NO RECRUITING AGENCIES"|senior data analyst|5|Cincinnati| OH
RAKS Group LLC|"End client: The Ohio State University (OSU)

Job title: Senior Data Analyst

Type: Contract / C2C (temporary)

Senior Data Analyst. Our client has a contract need for a Senior Data Analystto assist with their project to implement the Workday ERP system. The Business Process teams across the project are currently working with stakeholders to identify and define the most important data elements to build an enterprise data dictionary and catalog of reports and data assets. Scope of this work includes the upcoming Workday implementation but also historical data that needs to be preserved from legacy systems that are being retired and stored within the client's data lake environment.

Position Details / Responsibilities:

The Data Governance team is leading the implementation of a data cataloging tool in partnership with other units. The Data & Analytics team is seeking a resource that will be engaged in hands-on and in-person metadata collection effort across the Business Process teams, the Data Conversion team, and the Data & Analytics team, in building and managing a catalog of datasets, critical data elements and report information.Thus, the resource must demonstrate excellent communication and people management skills in delivering and managing information and user expectations.In partnership with the Data & Analytics team, the Conversion team, and the Business Process (BP) teams, the Data Analyst will collect, review and manage detailed information from the stakeholder community on data assets, reports and critical data elements and follow up on completion of definitions for these data elements.Collate this information into a repository (JIRA).Work with the Data Governance team to load data elements, definitions and report specification into university s enterprise repository.Manage the data elements drafting process and the approval process by designated data stewards.Serve as the primary point of contact for the project teams with regards to critical data elements.Responsible for maintaining JIRA items, dashboards, and overall status of the data element identification and definition.Creates and produces a weekly data element status report to the Data Governance team lead.Supports Business Process and functional team data cleansing activities by querying and summarizing data, tracking progress and monitoring ongoing data cleanliness.Assists in deployment of a data cataloging/data governance tool.Job Duty Percentages:


Support for Data Catalog: 80%Support for Data Quality: 20%

Required Qualifications:

Must possess excellent communication skills and have deep experience working with many varied user groups simultaneously6 years as a business/data analyst querying data and working with user groups to collect, collate, and document data assets as well as data element definitionsDemonstrated experience with organizational planning, and tracking skillsMust possess excellent interpersonal and relationship building skillsStrong query skills and demonstrated knowledge of databases, systems, and SQL conceptsSome experience with a Business Intelligence tool like Tableau

Desired Qualifications:

Experience working in a Higher Education environmentExperience with data cataloging or business glossary/data dictionary toolsExperience in creating dashboards to manage data qualityExperience in a previous system migration projectsExperience with Jira

provided by Dice
"|senior data analyst|0|Columbus Grove| OH
Diverse Lynx|"This is W2 contract position

Role: IDQ Data Analyst

Location: Blue Ash, OH

Duration: 6-12 Months

Experience: 5+ years

Technical expertise:

"" 5+ years of total IT experience in Data quality with 1+ years of experience in IDQ or Informatica powercenter

Job Description:

"" Proficient in automating data validations using files, databases

"" Strong understanding of IDQ Process & Procedures such as Define, Discovery, Profiling, Remediation, and Monitoring.

"" Expertise to ensure data quality and reliability and provide feedback to businesses and IT team on how to improve the quality of the data.

"" Capable of independently analyzing requirements, designing and implementing DQ solution

"" Capable of validating data between systems.

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.

"|data analyst|0|Blue Ash| OH
Worldpay|"The Company

Worldpay is a global payments leader powering international commerce with deep fintech expertise and a shared passion for our customers. Whether in-store, online, or on a mobile device, we process over 40 billion transactions annually and offer more than 300 payment methods supporting 126 currencies across 146 countries. It's the perfect place for exceptional people to take their careers to the next level.

The Opportunity

Worldpay's growth is due in large part to our highly-sophisticated products and services. By offering some of the most advanced and user-friendly payments processing options available, we can continue our growth by beating our competitors. Enter the need for skilled Engineers who can build the tools we need to continually improve upon our product offerings. From software to technical architecture and more, investing in our team of Engineers is investing in our future.

The Senior Data Analyst works on projects where he/she will play an active role in developing software enhancements and new products. A vigilant developer, he/she will work on the planning, designing and coding of enhancements for our current offerings. He/she will also work with cross-functional teams to build software solutions for current issues or to incorporate advancements in technology. Always searching to continuously improve Worldpay's catalog of products and services, we will create and maintain stable, reliable systems for our clients and partners.

A World of Opportunity

We're turbo-charging our industry by nurturing the fintech experts needed to help our customers prosper. We don't try to ride the winds of change. We create them. We're proud to be shaping the future of payments by supporting the growth and development of our colleagues. We provide opportunities to learn and the flexibility needed to get the job done. We strive to hire the best and to create a climate where curiosity is king. So, wherever you join us around the world, we'll empower you to fulfill your potential. If this is the kind of career experience you're looking for, we invite you to apply today.

The Day-to-Day

Responsibilities:

Interpreting data, analyzing results using statistical techniques.
Present information using data visualization techniques.
Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality.
Technical expertise in data modeling, understanding ETL frameworks and reporting systems.
Propose solutions and strategies to business challenges.
Work with Business functions to understand requirements and prioritize them. Collaborate with engineering and product development teams.
Acquiring data from primary or secondary data sources and maintaining databases
Work with different system owners to understand the data sources, create requirements and data mapping.
Works cross-functionally to address issues and emerging needs in software systems.

Qualifications:

3 years or more experience in working in Big Data landscape as demonstrated through experience or certification. Eg., Hadoop, Spark, Hive, Pig, Impala.
Highly skilled in SQL.
Knowledge in R, Python is an asset
Excellent communication and presentation skills
Analytical mind and business acumen
Typically requires a minimum of 5 years of related experience with a Bachelor's degree in computer science or equivalent field; or 3 years and a Master's degree in computer science or equivalent field; or equivalent work experience.


All the above duties and responsibilities are essential job functions for which reasonable accommodation will be made. All job requirements listed indicate the minimum level of knowledge, skills and/or ability deemed necessary to perform the job proficiently. This position description is not to be construed as an exhaustive statement of duties, responsibilities or requirements. Colleagues may be required to perform any other job-related instructions as requested by their leader, subject to reasonable accommodation.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"|senior data analyst|5|Cincinnati| OH
The E.W. Scripps Company|"The E.W. Scripps Company, an enterprise media leader, is seeking a Data Analyst, Predictive Modeling. The Data Analyst utilizes their skills to ask questions, turn data into knowledge, form conclusions, and make recommendations that enable Scripps to innovate, differentiate itself from its competitors, work smarter, make better decisions, and enhance profitability. This individual will partner with the analytics team, analytics products and services director, business leaders and end users to be a change agent - identifying questions that are important to our business & clients, and then use statistical analysis and data mining techniques to inform the answers, recommendations and next steps and communicate both visually and in writing. This position will be in Cincinnati OH or Washington, DC.

Key Activities

Support advertising sales pitch with analysis and data driven collateral that is compelling to the clientGuide client’s decisions using historical results and future projections as a trusted advisor to business leaders and users, using data and analytics as a basis for better, more informed decision makingIdentify impactful choices or courses of action that drive value for the organization and clientsInfluence the direction of the business by effectively communicating conclusions to cross-functional groupsMine large amounts of data and perform data analysis to extract useful business insights for a wide range of topics including product development and performance, market dynamics, consumer and audience knowledge, internal operations, and external researchInitial study design, acquisition of data, prototyping and production roll outOngoing tracking, monitoring, and periodic follow-up studiesSupport the design and implement of reporting dashboards that track key business metrics and provide actionable insightsSecure final, accurate data files from vendorsUse software and other tools to develop analyses that identify patterns, influences, correlations, relationships, predictive factors, risk factors, and that provide better situational awarenessCreation of models, simulations, and optimization routinesDevelop of data flows and acquisition strategies to facilitate the capture and sharing of data and analytics within the organizationSupport the development of analytics products and services by providing input into product roadmapsCreation of analytics and measurement roadmapsOther duties as assigned

Education & Experience

Bachelor’s degree in business analytics, Market Research, Business, Statistics or related field, or equivalent experienceMaster’s degree preferredMinimum of 3 years of experience in solving analytical problems using quantitative approaches (or equivalent)2+ years marketing analytics, media sales support or advertising agency experience (strongly preferred)Experience in quantitative and qualitative market research, political polling, consumer surveys, consumer insights, brand management or other related work

Tools/Methods

Data acquisition using SQL and Python from sources like Snowflake, Google AWS, Social Media, Public Databases etc.Tableau, Simga, and Excel for data exploration and presentation • R, RapidMiner, MySQL, Excel, and other tools for data mining using techniques like agent-based modeling, anomoly detection, A/B testing, nearest neighbor, cluster analysis, sentiment analysis, decision trees, optimization, simulation, and regression analysis

Skills & Abilities

Clever and curious with a passion for finding insights in data and using quantitative analysis to answer complex questionsExperience with mapping business drivers to data mining and analysis approachesBe a positive force to cultivate a culture that is passionate about developing analytics as a business competencyStrong analytical and data fluency skillsDriven self-starter with an appetite for new challengesCreative problem solver with a common sense and practical solutions orientation; must be passionate about the role analytics plays in improving business performanceProven leadership ability and evidence of positively influencing cross-functional teamsExcellent verbal, written, and presentation skills demonstrating an ability to ""tell a story""Outstanding communication, including both listening and persuasionAbility to work with diverse teams (Sales, Research and Developers) to convert product ideas into requirements for analysisUnderstanding of market research or analytics, and its application to broadcast and/or digital media (preferred)Strong entrepreneurial spirit; high energy level, sense of urgency, responsive, confident, thorough, not afraid to make decisionsStrong work ethic; ability to overcome setbacks and enthusiastically persist until ambitious goals are achieved; must be resourceful, creative and innovativeCreate and contribute to a quality work environment that motivates team members to perform at their highest levels and positively affects employee and business partner relationshipsResults oriented team player that leads by example, holding him or herself accountable for performance, takes ownership, champions efforts with enthusiasm and convictionSome travel required

About Scripps

The E.W. Scripps Company (NASDAQ: SSP) serves audiences and businesses through a growing portfolio of local and national media brands. With 52 television stations in 36 markets, Scripps is one of the nation’s largest independent TV station owners. Scripps runs a collection of national journalism and content businesses, including Newsy, the next-generation national news network; podcast industry leader Stitcher; the fast-growing national broadcast networks Bounce, Grit, Escape, Laff and Court TV; and Triton, the global leader in digital audio technology and measurement services. Scripps runs an award-winning investigative reporting newsroom in Washington, D.C., and is the longtime steward of the Scripps National Spelling Bee. Founded in 1878, Scripps has held for decades to the motto, “Give light and the people will find their own way.”

As an equal employment opportunity employer, The E.W. Scripps Company and its affiliates do not discriminate in its employment decisions on the basis on race, sex, sexual orientation, gender, color, religion, age, genetic information, medical condition, disability, marital status, citizenship or national origin, and military membership or veteran status, or on any other basis which would be in violation of any applicable federal, state or local law. Furthermore, the company will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship for the company.

If interested, please apply at www.scripps.com/careers.

#LI-CH1

#GD-CH1"|data analyst|5|Cincinnati| OH
Kelly Services|"Kelly Services is seeking an EDI Data Analyst for a market leader in the design, manufacture and distribution of fashion, luxury, sports and performance eyewear located in Mason OH.

Job Title: EDI Data Analyst

Location: Mason OH 45040 (Local candidates only)

Type: Contract (W2)

Length: 5 months

Pay Rate: $15/HR

Start Date: Immediate

Purpose: The client receives around 900 electronic data files a day. While many of these are able to be automatically approved by the system, many still need to be reviewed and approved by an EDI Data Coordinator. In addition, they have several daily reports that the team manages, so having need an associate to assist with file processing will allow additional time and focus on reports while not falling behind on electronic data volume.

GENERAL FUNCTION

• Responsible for ensuring the client’s EDI Trading Partner transactions are loaded and Proprietary formatted files, are approved and Metastorm approved within established KPI’s

• Perform membership data load from various electronic media into the Facets system.

• Coordinate membership data transfer for new plans and modifications to existing plans, with client and internal personnel

• Troubleshoot data issues through coordination and communication with management team, IT, and client personnel.

• Perform additional membership reporting duties within the department as well as performing more complex load processes.

Responsibilities:

Pertains to both 834 and Proprietary file formats

• Load membership data into Facets efficiently and accurately.

• Follow research and data processing guidelines and meet established standards.

• Use PC based applications to modify membership data as necessary to ensure accurate data load.

• Responsible for explaining data formatting requirements to internal associates as they relate to data load issues.

• Answer client service team questions regarding data submission requirements in a professional and timely manner.

• Identify and resolve data issues with client service team.

• Assist in coordinating receipt, loading, tracking, and reporting of membership data.

• Communicate with client service team regarding data layout or data integrity issues in a timely manner and escalate as necessary to EyeMed management team.

• Identify and recommend systems and process modifications necessary to effectively and efficiently support the membership load function.

• Own and or assist in additional membership reporting duties.

• Demonstrate strong teamwork abilities and act as a role model for other associates within the department.

• Train new associates within the department.

• Ensure files are loaded accurately and timely to Facets

• Validate loads are complete. Concerns are brought to the attention of the Account Manager or supervisor

• Other duties as assigned or required of the position

KNOWLEDGE AND SKILLS


Detailed working knowledge of mainframe computers and systems in general.
Detailed working knowledge of basic person computer operations.
Strong working knowledge of software programs, specifically Excel and Access
Understands third party benefits and administration
Strong customer service focus
Ability to problem solve and troubleshoot electronic data issues
Ability to work well under pressure and multi-task
Excellent time management skills
Proficient with Facets and MS Office (MS Word, Excel, Access)
Ability to quickly gain working knowledge of EDI applications (Data Integrator, FTP, encryption tools)
Flexible, grasps concepts quickly
Initiates process improvements
Positive attitude
Team player
Mature, professional demeanor

EDUCATION

High School diploma or equivalent required. Associates Degree in Information Systems preferred.

EXPERIENCE


3-5 years Information Systems related experience, preferable in the insurance industry.
Familiarity with electronic media and AS400
Experience with Excel, Assess and Microsoft Word.
Proficient with Facets and MS Office (Excel and Access databases and queries in general and sequel to be specific.)
Ability to quickly gain working knowledge of EDI applications (Data Integrator, FTP, encryption tools)

*** If this position may be of interest to you, please email me back at shai879@kellyservices.com (with your most up to date resume, for further consideration) and advise the best time and number at which you can be reached. If not for yourself, feel free to share this opportunity within your network! ***

Shazneen Irani

Professional Technical Recruiter

Kelly Services, Inc.

shai879@kellyservices.com

kellyservices.comWhy Kelly®?</p>With Kelly, youll have direct connections to leading IT organizations in the best companies around the globeoffering you the chance to work on some of todays most intriguing, innovative and high-visibility projects. In a field where change is the only constant, our connections and opportunities will help you take your career exactly where you want to go. We work with 90 of the Fortune 100 companies companies and found opportunities for more than 8,600 IT professionals last year. Let us help advance your career today.About Kelly®</p>At Kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. In fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law."|lead data analyst|1|Mason| OH
T-Cetra, LLC|"Why T-CETRA

We're constantly developing new and creative ways to solve the industry's most complex problems. Our enterprise software solutions run the gamut of Information Technology Services–from payment processing, to prepaid wireless activations, to mobile and web app development. For the past 10+ years our originality attracts the most outstanding and innovative thinkers- allowing us to develop new and creative approaches while growing as the industry leader. Are you a passionate professional, ready to make changes in the tech world? Join our team today!

Check Us Out: WWW.TCETRA.com

Responsibilities:

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

Acquire data from primary or secondary data sources and maintain databases/data systems

Identify, analyze, and interpret trends or patterns in complex data sets

Filter and ""clean"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

Work with management to prioritize business and information needs

Locate and define new process improvement opportunities

Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool.

Be part of project data structure design and implementation.

Applying fixes and rectifying data structure issue or data processing flows.

Requirements:

Four-year degree in Computer Science, IT Engineering or a related field.

4+ years of Microsoft SQL, Microsoft Access, and Microsoft Excel, SSIS, SSRS and similar related technologies.

Experience in analysis, mappings, modeling, designing and implementing quality data management solutions working closely with key business stakeholders.

Versed in data governance, information management frameworks; Understanding of Master Data management, relational databases and reference data management would be essential.

Knowledge of data structures and ability to efficiently manipulate/query data.

Ability to work independently/efficiently and to thrive in a fast-paced environment, as well as the ability to work collaboratively with cross-functional teams.

Ability to negotiate and facilitate across multiple business units.

URWVrH5AFB"|senior data analyst|5|Dublin| OH
Avani Technology Solutions Inc|"Job Details

Job Code

JPSC-7975

Posted Date

10/19/18

Experience

7 Years

Primary Skills

Informatica,business objects,Oracle PL/SQL,EDW

Required Documents

Resume

Overview

Role: Data Analyst Lead – Informatica/Business Objects

Work Location: Columbus, OH (LOCAL CANDIDATES ONLY)

Duration: Long Term

NO OPT VISAS ALLOWED / USC & GCH are preferred

Description:

Six years’ experience working with Informatica/EDW/Business Objects
Good in Oracle PL/SQL
Having experience working Application support on Analyst roles
Good experience on Client facing role
Nice to have experience in working on-shore off-shore role
Should be capable of interacting with client independently


Naveen Kumar |

T 585.532.7200 Ext: 9022

Mobile no: 408.809.8869 | naveen.b@avanitechsolutions.com,

687 Lee Road, Suite # 208, Rochester, NY 14606

http://www.avanitechsolutions.com"|lead data analyst|0|Columbus| OH
BLS Revecore|"Position Summary

The Physician Services Data Analyst works at the cutting edge of some of our most important business and service delivery functions; driving mission critical operations programs aimed at enhancing the efficiency, effectiveness, and quality of our service operations.

Duties and Responsibilities

Deliver customer value in the form of stable, predictable, and impactful business results through identification and collection of revenue opportunities within the physician underpayment business unitReview insurance contracts to gain thorough understanding of payment methodologies for both Commercial and Government insurance plansExamine claims patterns, validate/ research/resolve discrepancies, and classify resultsProduce analytic reporting packages to clients based on identified underpayment trends, billing discrepancies, or other metrics that will improve business outcomes for our clientsCreate or maintain accurate record keeping processBuild strong, lasting relationships with clients and BLS personnelGeneral clerical functions including, but not limited to copying, scanning, faxing, document preparation, writing correspondence and file maintenanceAttend client, department and company meetingsComply with federal and state laws, company policies and procedures

Skills and Experience

5+ years of operations and revenue cycle experience, e.g., managed care, PFS, third party administratorExperience with physician revenue cycle management processes and standard data setsKnowledge of insurance submittal procedures and medical claim form CMS-1500Excellent technical skills including advanced knowledge of ExcelAbility to define problems, collect data, establish facts and draw valid conclusionsAbility to present findings to internal or external stakeholders – clients, colleagues and leadership team.Impeccable attention to detail and accuracyStrong customer service orientationAbility to work on own with minimal supervision and use effective time management skills to complete tasks on timeCommitment to company mission and valuesStrong critical thinking and problem solving skillsHighly organized with the ability to manage diverse functions, requests, and deliverables.Ability to read and interpret an extensive variety of documents such as instructions, policies and procedures in written (in English) and diagram formExperience working with ICD-10, CPT, and HCPCS coding systemsMathematical skills: ability to calculate rates using addition, subtraction, multiplication and division

Job Type: Full-time

Experience:

physician billing: 5 years (Required)

Additional Compensation:

Bonuses

Work Location:

One location

Benefits:

Health insuranceDental insuranceVision insurancePaid time offFlexible schedule

Schedule::

Monday to Friday
"|data analyst|0|Liberty Township| OH
T-Cetra, LLC|"Why T-CETRA?

We're constantly developing new and creative ways to solve the industry's most complex problems. Our enterprise software solutions run the gamut of Information Technology Services-from payment processing, to prepaid wireless activations, to mobile and web app development. For the past 10+ years our originality attracts the most outstanding and innovative thinkers- allowing us to develop new and creative approaches while growing as the industry leader. Are you a passionate professional, ready to make changes in the tech world? Join our team today!

Check Us Out: www.TCETRA.com

Responsibilities:
Use data to understand business patterns and trends.Analyze internal and external data through quantitative research.Communicate findings to company through standard and ad hoc reports.Promote best practices in data analysis and reporting.Collaborate with cross-functional teams.
Minimum Qualifications:
Must have MS SQL experience.Understand relational database concepts.Understand data trends.Root cause analysis experience.Ability to create and pull reports.Prior auditing trial experience.Proficient in Microsoft Office.Previous experience in business intelligence, analysis, or another related field.Knowledge of statistical tools and business reporting.Strong problem solving and critical thinking skills.Strong attention to detail.Ability to prioritize and multitask.
Why Should You Apply:
Paid Time OffComprehensive Medical, Vision and DentalMatching 401k up to 4%FMLA and Life InsuranceTuition ReimbursementWellness ProgramEmployee Growth and Development Reimbursement ProgramDiscounted Rates for Multiple Handsets and Prepaid Wireless RatesBeautiful nearby walking paths and parkFun, value centered work atmosphereFlexible work environment
T-CETRA provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within T-CETRA. To create a safe and positive environment for employees, all applicants must perform a pre-employment drug screen and background check."|data analyst|5|Dublin| OH
