City,State,Unnamed: 0,city,company_name,job_summary,job_title,region,state,state1,title
Denver, CO,10.0,,"RE/MAX, LLC","Prototype data solutions to enable warehousing, event driven data capture, and data modeling.RE/MAX, LLC is looking for a Data Engineer to support data…",Data Engineer,West,,Colorado,Data Engineer
Centennial, CO,11.0,,Arrow Electronics,"Arrow Electronics is currently seeking a Data Engineer to work in our Arrow Digital division at our global headquarters in Centennial, CO!",Data Engineer I,West,,Colorado,Data Engineer
Greenwood Village, CO,12.0,,clickfox,"BryterCX is seeking a Data Engineer to work with our Denver, CO office.Experience with time series data, and/or data visualization and analytics is preferred.",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,13.0,,Transamerica,"Partner with data scientists, analytics engagement managers, and other data engineers to discover, collect, cleanse, and refine the data needed for analysis and…",Data Engineer,West,,Colorado,Data Engineer
Greenwood Village, CO,14.0,,BryterCX,"BryterCX is seeking a Senior Data Engineer to work with our Denver, CO office.Experience with creating and consuming time series data, data visualization…",Sr. Data Engineer,West,,Colorado,Data Engineer
Centennial, CO,15.0,,Horizontal,Prior experience extracting data disconnected data repositories.Must have a Data warehouse/Big Data background.3+ years experience Scala or Python.,DevOPs Data Engineer,West,,Colorado,Data Engineer
Centennial, CO,16.0,,Horizontal,Prior experience extracting data disconnected data repositories.Must have a Data warehouse/Big Data background.3+ years experience Scala or Python.,Sr. DevOps Data Engineer,West,,Colorado,Data Engineer
Englewood, CO,17.0,,Dignity Health - Corporate Service Center,"The supply chain data engineer builds and maintains the data pipelines that make data accessible to supply chain staff, our partners, and the larger…",Supply Chain Data Engineer,West,,Colorado,Data Engineer
Centennial, CO,18.0,,Horizontal,A successful Data Engineer will have the following:Prior experience extracting data disconnected data repositories.5+ years experience Scala or Python.,Sr. Big Data Developer,West,,Colorado,Data Engineer
Boulder, CO,19.0,,Cloud Agronomics,"You're experienced in optimizing ‘big data' pipelines, architectures, and data sets with large-scale data storage, processing, or scientific data flows.","Cloud Engineer, ML/AI",West,,Colorado,Data Engineer
Boulder, CO,20.0,,Cloud Agronomics,Experience working with remote sensing and/or geospatial data.Leverage cloud-based technologies to collate and pre-process model input data.,Machine Learning Scientist,West,,Colorado,Data Engineer
Denver, CO,21.0,,TD Ameritrade,"BDE (Certified Big Data Engineer).Experience in data profiling, data mining, data cleaning, feature engineering and predictive analytics.",Lead Data Scientist,West,,Colorado,Data Engineer
Denver, CO,22.0,,Accenture,The AWS Data Engineer is a highly performant engineer responsible for delivering Cloud based Big Data and Analytical Solutions at our clients.,AWS Data Engineer,West,,Colorado,Data Engineer
Boulder, CO,23.0,,Recurly,"We are looking for an energetic and dynamic Data Engineer to help build, maintain, and evolve our Data Platform.",Senior Data Engineer,West,,Colorado,Data Engineer
Fort Collins, CO,24.0,,HP,"Key skills will by Python, Scala, and Databricks Spark, as applied in a data engineering capacity.Fluent in structured and unstructured data, its management,…",Data Engineer - Spark Data Engineer,West,,Colorado,Data Engineer
Louisville, CO,25.0,,GHX,We are looking for an Experienced Data Engineer for a 6-month contract (possibility to extend or convert to FTE) to join our new Data Organization.,US Contractor - Data Engineer (Big Data),West,,Colorado,Data Engineer
Denver, CO,26.0,,SonderMind,"We are seeking a Data Engineer to own the design, build, and organization of all data initiatives for SonderMind.You'll excel in this role if:",Data Engineer,West,,Colorado,Data Engineer
Aurora, CO,27.0,,University of Colorado,"This may include data acquisition, processing workflows, tool development, data management and curation, data discovery, data integration and person level…",Health Data Engineer/Architect,West,,Colorado,Data Engineer
Boulder, CO,28.0,,"ArcherDX, INC.","Experience working in a SW Developer / Data Engineer or similar role.Become familiar with and employ industry-leading data standards, striving for findable,…",Software Developer/Data Engineer (ADX-98-19),West,,Colorado,Data Engineer
Denver, CO,29.0,,Transamerica,"Partner with data scientists, analytics engagement managers, and other data engineers to discover, collect, cleanse, and refine the data needed for analysis and…",Data Engineer,West,,Colorado,Data Engineer
Greenwood Village, CO,30.0,,BryterCX,"BryterCX is seeking a Data Engineer to work with our Denver, CO office.Experience with time series data, and/or data visualization and analytics is preferred.",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,31.0,,Accenture,"Gather, engineer, and prepare data to help clients make smarter decisions.You have hands-on experience with any of the following programming languages: Python,…",Data Engineer Consultant,West,,Colorado,Data Engineer
Broomfield, CO,32.0,,Code42,As an engineer at Code42 you'll be working on challenging problems focusing on data engineering.Designing and developing high-volume data pipelines within AWS.,Data Engineer,West,,Colorado,Data Engineer
Colorado Springs, CO,33.0,,"The AEgis Technologies Group, Inc.","This includes working with many of the following technologies: data pipelines, data services, operational data stores, data warehouses, data marts, big data…",Hadoop Expert,West,,Colorado,Data Engineer
Greenwood Village, CO,34.0,,BryterCX,"BryterCX is seeking a Senior Data Engineer to work with our Denver, CO office.Experience with creating and consuming time series data, data visualization…",Sr. Data Engineer,West,,Colorado,Data Engineer
Englewood, CO,35.0,,"Starz Entertainment, LLC","Create data tools for analytics and data scientist team members that assist them in building and optimizing our products.Web Server Frameworks: Flask, Node.js.",Sr. Data Engineer,West,,Colorado,Data Engineer
Denver, CO,36.0,,CirrusMD,"Building and optimizing data pipelines, architectures and data sets.Automating and optimizing ingestion of outside data from customers.",Data Engineer,West,,Colorado,Data Engineer
Aurora, CO,37.0,,Leidos,As a Data Engineer you will have the opportunity to:Support of production data processing and data distribution systems.Provide direct support to end users.,Data Engineer with TS/SCI with Poly,West,,Colorado,Data Engineer
Denver, CO,38.0,,CACI,We are seeking a passionate Data Engineer.Work with external data providers and stakeholders to engineer the ingest of and distribution of mission-relevant…,Data Engineer (Up to 25% Profit Sharing Benefit!),West,,Colorado,Data Engineer
Colorado Springs, CO,39.0,,"Modern Technology Solutions, Inc. (MTSI)","This includes working with many of the following technologies: data pipelines, data services, operational data stores, data warehouses, data marts, big data…",Data Architect,West,,Colorado,Data Engineer
Colorado Springs, CO,40.0,,"Integration Innovation, Inc. (i3)","This includes working with many of the following technologies: data pipelines, data services, operational data stores, data warehouses, data marts, big data…",Data Architect,West,,Colorado,Data Engineer
Colorado Springs, CO,41.0,,"Davidson Technologies, Inc.","This includes working with many of the following technologies: data pipelines, data services, operational data stores, data warehouses, data marts, big data…","Mid-Level/Senior Data Architect - Colorado Springs, CO",West,,Colorado,Data Engineer
Broomfield, CO,42.0,,Oracle,Python Software Engineer ( Data Engineer)-1900192A.Providing thought leadership in the implementation of data pipelines and workflows.,Python Software Engineer ( Data Engineer),West,,Colorado,Data Engineer
Colorado Springs, CO,43.0,,BombBomb,"A Data Engineer eager to learn and collaborate with those around them, who produces quality results with a low frequency of serious defects.",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,44.0,,Havenly,Partner with the Data Science team to provide data infrastructure for a variety of projects including ETLs to the data warehouse powering the BI of Havenly.,Data Engineer,West,,Colorado,Data Engineer
Englewood, CO,45.0,,TTEC,"Senior Big Data Engineer-Remote/ Telecommute.Understanding of complex data flows, identification of data processing bottlenecks and designing and implementing…",Senior Big Data Engineer,West,,Colorado,Data Engineer
Broomfield, CO,46.0,,Oracle,"Working knowledge of data analysis / data science.We are looking for an experienced data engineer / Database Administrator to help ETL, manage, and…",Principal Data Engineer & DBA,West,,Colorado,Data Engineer
Denver, CO,47.0,,Deloitte,"As a Service Delivery Data Engineer, you’ll manage the delivery of customer experience & marketing data solutions for our clients.",Service Delivery Data Engineer,West,,Colorado,Data Engineer
Denver, CO,48.0,,Insurity,Valen Analytics is looking for a Data Engineer to expand our growing data processing needs.Troubleshoot basic data and data engineering issues.,Data Engineer,West,,Colorado,Data Engineer
Denver, CO,49.0,,Valen Analytics,"Valen Analytics is looking for a Data Engineer to expand our growing data processing needs.As a Data Engineer, you will work with customers, Valen team members…",Data Engineer,West,,Colorado,Data Engineer
Boulder, CO,50.0,,HelloFresh,"At least 3 years' experience as a Data Engineer.Expand and optimize our data and data pipeline architecture and data flow.Airflow, Luigi, AWS Glue, MoSQL.",Data Engineer (Green Chef),West,,Colorado,Data Engineer
Lone Tree, CO,51.0,,Charles Schwab,"We are looking for a Data Engineer who has passion for data and comes with data engineering background.Designing schemas, data models and data architecture for…",Jr. Data Engineer,West,,Colorado,Data Engineer
Denver, CO,52.0,,Accenture,The GCP Data Engineer is a highly performant engineer responsible for delivering Cloud based Big Data and Analytical Solutions for our clients.,Google Data Engineer,West,,Colorado,Data Engineer
Denver, CO,53.0,,BP,"The Data Engineer works with the L48’s IT platform owners, data analytics teams, data scientists, and data warehouse architect in order to understand and aid in…",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,54.0,,Aegon,"Partner with data scientists, analytics engagement managers, and other data engineers to discover, collect, cleanse, and refine the data needed for analysis and…",Data Engineer,West,,Colorado,Data Engineer
Colorado Springs, CO,55.0,,"Davidson Technologies, Inc.","This includes working with many of the following technologies: data pipelines, data services, operational data stores, data warehouses, data marts, big data…","AMCOM Express - Ballistic Missile Defense (BMDS) - Data Manager/Architect - Colorado Springs, CO",West,,Colorado,Data Engineer
Denver, CO,56.0,,Deloitte,"Producing high-quality code in Python.Design and implements data tools for analytics and data scientist team members to help them in building, optimizing and…",Data Engineer,West,,Colorado,Data Engineer
Boulder, CO,58.0,,Fanatics Inc.,"As the Senior Data Engineer, you will be designing and building inventory intelligence data pipelines and application platform services that power business…",Sr. Data Engineer,West,,Colorado,Data Engineer
Denver, CO,59.0,,ITmPowered,"Understand technical data sources, data structures, data quality and necessary transformations to aggregate, enrich, validate, and publish data.",Tableau Developer Data Engineer (BHJOB22048_585),West,,Colorado,Data Engineer
Boulder, CO,0.0,,Cloud Agronomics,"You're an incredibly gifted data scientist and problem solver.You're fluent in Python, experienced in cloud-based geospatial data management systems, and…",Lead Geospatial Data Scientist,West,,Colorado,Data Scientist
Denver, CO,1.0,,Merkle Inc.,"Strong Python or R skills.Design, develop, test, deploy and maintain machine learning techniques for Merkle data products.",Data Scientist,West,,Colorado,Data Scientist
Greenwood Village, CO,2.0,,SSB Consulting Group LLC,"Proficient in Python (NumPy, Pandas, scikit-learn, Keras, Tensorflow).Experience in managing and manipulating large, complex data sets.",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,3.0,,J.D. Power,"Lead and supervise data ETL, processing, exploration, and data quality checks to ensure high-quality data for downstream analyses and model development.",Managing Director - Data Science,West,,Colorado,Data Scientist
Broomfield, CO,4.0,,Expedite LLC,3+ years of Proven experience as a Data Scientist or Data Analyst.Data mining using state-of-the-art methods.Statistical Techniques and Algorithms.,Data Scientist|| Machine Learning,West,,Colorado,Data Scientist
Denver, CO,5.0,,Dataiku,"Familiarity with data visualization in Python, R or JavaScript.We're looking for a Data Scientist to join Dataiku in our offices in New York or Denver.",Data Scientist,West,,Colorado,Data Scientist
Lakewood, CO,6.0,,"Terumo BCT, Inc.","Applied understanding of data science process, ETL, data enrichment, and data discovery processes.Experience using SQL, Python or other data or scripting…",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,7.0,,Fluid Truck Share,3 years of experience in statistics and data modeling.3 years experience with Big Data technologies using varied databases.,Data Scientist,West,,Colorado,Data Scientist
Broomfield, CO,8.0,,CenturyLink,"Experience in data mining, big data analytics, application data preparation and other analytics techniques.Any experience with Data Visualization and business…",INTERN - DATA SCIENTIST PRODUCT MANAGEMENT - SUMMER 2020,West,,Colorado,Data Scientist
Boulder, CO,9.0,,Gloo,Working with the Data Intake team to maximize value and efficiency of available data.Experience in standardizing data from varied and multiple data sources for…,Senior Data Scientist,West,,Colorado,Data Scientist
Denver, CO,10.0,,Fluid Truck Share,"Fluid Truck is seeking a Data Scientist with at least 3 years of experience in statistics and first hand knowledge of data pipelines to join our team in Denver,…",Data Scientist,West,,Colorado,Data Scientist
Boulder, CO,11.0,,Tax Guard,Analytical: Synthesizes complex or diverse information; Collects and researches data; Uses intuition and experience to complement data; Designs workflows and…,Data Scientist,West,,Colorado,Data Scientist
Boulder, CO,12.0,,Spire,Working with meteorological data sets from various sources.Spire Global is seeking a Statistical Data Scientist to contribute to the Company's effort of…,Statistical Data Scientist,West,,Colorado,Data Scientist
Denver, CO,13.0,,PHOENIX,The Sr. Business Analyst / Data Scientist will join a strong team providing advanced analytical and data management services related to the mortgage industry.,Sr Business Analyst / Data Scientist,West,,Colorado,Data Scientist
Denver, CO,14.0,,TD Ameritrade,"Experience in data profiling, data mining, data cleaning, feature engineering and predictive analytics.Understanding of enterprise data warehouses and related…",Lead Data Scientist,West,,Colorado,Data Scientist
Aurora, CO,15.0,,University of Colorado,The Department of Biostatistics and Informatics (BIOS) seeks a full-time doctoral trained Research Associate / Data Scientist to integrate systems immunology…,Research Associate,West,,Colorado,Data Scientist
Denver, CO,16.0,,Accenture,"At least 5 years of experience in developing data ingestion, data processing and analytical pipelines for big data, relational databases, NoSQL and data…",AWS Data Engineer,West,,Colorado,Data Scientist
Boulder, CO,17.0,,Goldstone Partners,As a Senior Data Scientist you’ll bring advanced level experience in data modeling to apply to Gloo’s Insights Platform and Data Science Solutions.,Senior Data Scientist,West,,Colorado,Data Scientist
Broomfield, CO,18.0,,SpotX,"Join SpotX as a Data Scientist.Monitor, tune, and extend existing Data Science solutions/products.A track record of providing compelling insights based on…",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,19.0,,Bank of America,"5+ years of professional experience as a data scientist or related roles.These systems must overcome issues of complex data (e.g., VLDB, multi-structured, big…",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,20.0,,Betsol,"You have at least 5 years of experience working with data and data analysis in some form.Have worked with large data sets, with big data processing tools like…",Data Scientist,West,,Colorado,Data Scientist
Aurora, CO,21.0,,University of Colorado,The Department of Biostatistics and Informatics (BIOS) seeks a full-time doctoral trained Research Associate / Data Scientist to integrate systems immunology…,Research Associate,West,,Colorado,Data Scientist
Longmont, CO,22.0,,Seagate Technology,Job title: Data Scientist - Quality/Reliability - Staff.Writing complex SQL and understanding data models within a data warehouse environment.,Data Scientist - Quality/Reliability - Staff level,West,,Colorado,Data Scientist
Broomfield, CO,23.0,,Oracle,SENIOR DATA SCIENTIST / ML ENGINEER - DATA CLOUD.We are looking for a Senior Data Scientist for the Identity Graph Data Science team at Oracle Data Cloud (ODC)…,Senior Software and Machine Learning Engineer - Data Cloud,West,,Colorado,Data Scientist
Denver, CO,24.0,,InVision,Our team is in search of a Senior Data Scientist - Marketing to help us change the way digital products are designed.,Senior Data Scientist - Marketing,West,,Colorado,Data Scientist
Denver, CO,25.0,,DaVita,"Work collaboratively with data scientists, actuaries, data analysts, clinicians, and operators to identify opportunities to create value through advanced…",Data Scientist,West,,Colorado,Data Scientist
Aurora, CO,26.0,,University of Colorado,The Department of Biostatistics and Informatics (BIOS) seeks a full-time doctoral trained Research Associate / Data Scientist to integrate systems immunology…,Research Associate - Data Scientist,West,,Colorado,Data Scientist
Aurora, CO,27.0,,CACI,"Responsible for design analysis, problem solving/trouble shooting, determining and implementing solutions to a variety of challenging data science problems.",Data Scientist/Researcher (Up to 25% Profit Sharing Benefit!),West,,Colorado,Data Scientist
Boulder, CO,28.0,,Google,"1 year of experience in an analytics, statistician, data scientist or consultant role.Experience with data analysis tools (R, SQL) and techniques (machine…",Quantitative Business Analyst,West,,Colorado,Data Scientist
Denver, CO,29.0,,CitiusTech,"Model Development - Data pre-processing, data quality improvement and data mining for the development of custom AI / ML models.",Principal Data Scientist / Applied Machine Learning Engineer,West,,Colorado,Data Scientist
Englewood, CO,30.0,,DISH,Great communication skills - someone who is passionate about evangelizing the value of advanced data science capabilities.,Senior Data Scientist,West,,Colorado,Data Scientist
Denver, CO,31.0,,Entercom Communications Corp.,"The Senior Data Scientist will play a key role in building the appropriate modelling solutions for a new data platform system, and help with setting up to…",Senior Data Scientist,West,,Colorado,Data Scientist
Broomfield, CO,32.0,,CenturyLink,"Data Scientists with NLP, text mining and other applied technologies.Experience in one of the following languages Python or R.3.0 or above cumulative GPA.",INTERN - DATA SCIENTIST - SUMMER 2020,West,,Colorado,Data Scientist
Golden, CO,33.0,,National Renewable Energy Laboratory,The data scientist should have experience with data visualization frameworks and preferably have experience synthesizing data analysis results into basic web…,Building Data Scientist III,West,,Colorado,Data Scientist
Boulder, CO,35.0,,Unsupervised,"Serving results with Python, Pandas, NumPy, Jupyter, and Linux.2-5 years of professional experience as an analyst or data scientist.",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,36.0,,Flexential,"The Marketing Data Scientist, a strategic role in Flexential’s expanding marketing team, will aggregate and analyze existing intelligence and source new data to…",Marketing Data Scientist,West,,Colorado,Data Scientist
Longmont, CO,37.0,,Seagate Technology,"Solid technical knowledge and hands-on skills in machine learning, deep learning, statistical algorithms, data mining, data structures, and data engineering.",Data Scientist - Senior,West,,Colorado,Data Scientist
Westminster, CO,38.0,,Aegis Premier Technologies,The ideal Data Scientist candidate will have some combination of the following experience/education:Data science: 2 years (Required).,Data Scientist,West,,Colorado,Data Scientist
Fort Collins, CO,39.0,,Transcorr National Logistics,"Proficient in Statistical Software: Python, R.Experience retrieving, cleaning, and manipulating data from TMS and CRM systems.",Data Scientist,West,,Colorado,Data Scientist
Denver, CO,40.0,,Transamerica,"Work with product managers and data engineers to discover, collect, cleanse, and refine the data needed for analysis and modeling.","Internship - Data Scientist, Denver CO (Summer 2020)",West,,Colorado,Data Scientist
Denver, CO,41.0,,Aegon,"Work with product managers and data engineers to discover, collect, cleanse, and refine the data needed for analysis and modeling.","Internship - Data Scientist, Denver CO (Summer 2020)",West,,Colorado,Data Scientist
Denver, CO,42.0,,BP,"In conjunction with Data Engineers, building and managing new data tables that support data collection, cross-functional data integration, data visualization,…",Data Scientist,West,,Colorado,Data Scientist
Englewood, CO,43.0,,"Starz Entertainment, LLC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our products.,Sr. Data Engineer,West,,Colorado,Data Scientist
Boulder, CO,44.0,,Ball Aerospace,"Demonstrated capability of (end to end data project) generating or understanding a hypothesis, evaluating data needs and expectations; manipulating data to…",Data Scientist I (668421),West,,Colorado,Data Scientist
Denver, CO,45.0,,"Vadata, Inc.","At least 2+ years hands on experience programming in R, Python, or other data analysis and scripting languages.Communication and data presentation skills.",Data Scientist,West,,Colorado,Data Scientist
Louisville, CO,46.0,,Astra LLC,Job Announcement: Data Scientist / AI Specialist.ASTRA is looking for Data Scientist/Engineer to help lead our growing artificial intelligence (AI) and big…,Data Scientist / AI Specialist,West,,Colorado,Data Scientist
Boulder, CO,47.0,,SciTec,"Develop tools in Python for performance evaluation, with emphasis on tools for visualizing data.Government in building innovative new tools to deliver unique,…",Junior Data Scientist,West,,Colorado,Data Scientist
Boulder, CO,48.0,,Twitter,"Experience using SQL, R, or Python for analysis, modeling, and data visualization.Work in tandem with team members, applying advanced statistical methods;…",Senior Data Scientist- Consumer Product,West,,Colorado,Data Scientist
Denver, CO,49.0,,Pinnacol Assurance,"As a Data Scientist, you will work with internal teams to:Experience with common data science libraries (e.g. spaCy, Pandas, NumPy, Scikit-learn, XGBoost,…",Data Scientist,West,,Colorado,Data Scientist
