company,description,location,position,reviews,City,State
Amplero,"Are you interested in being a part of an Artificial Intelligence Marketing (AIM) company that is transforming how B2C enterprises engage with their customers; improving customer experience, marketing throughput and for the first time directly optimizing key business KPIs? Do you want to join a startup company backed by the top firms in the venture capital and SaaS industries? Would you like to be part of a company that prides itself on being a meritocracy, where passion, innovation, integrity, and our customers are at the heart of all that we do?

Then, consider joining us at Amplero, an Artificial Intelligence Marketing company that leverages machine learning and multi-armed bandit experimentation to dynamically test thousands of permutations to adaptively optimize every customer interaction and maximize customer lifetime value and loyalty.

To do this, we collaborate closely with our customers to learn about their business challenges, to help develop strategic marketing approaches for solving them, and enable them to deploy these strategies using the Amplero AI Marketing platform at beyond human scale.

We are growing our customer base and are looking for Data Scientists to join our innovative and energetic team! This is a unique opportunity to both drive innovations for our technology and to realize their impact as you work closely with our client engagement teams to best leverage our scientific capabilities within the Amplero product for marketing optimization and customer insights.

As an Amplero Data Scientist you would:

Interface with our internal engagement teams and clients to understand business questions, and perform analytical ""deep dives"" to develop relevant and interpretive insights in support of our client engagements

Smartly leverage appropriate technologies to answer tough questions or understand root causes of unexpected outcomes and statistical anomalies

Develop analysis tools which will influence both our products and clients; including python pipelines focused on the productization of data science and insights tools for marketing performance and optimization.

Feature generation and selection from a wide variety of raw data types including time series and graphs

Work with the Amplero Product Team to provide ongoing feedback to the features and priorities most aligned with our clients' current and future needs to inform the product roadmap, test product hypotheses as well as to help plan the product lifecycle

We'd love to hear from you if:

You're an expert with data analysis and visualization tools including Python (including NumPy, SciPy, Pandas, scikit-learn) and other packages that enable data mining and machine learning

Able to understand various data structures and common methods in data transformation; experience with Hadoop is a plus

You have a proven track record of applying data science to solve difficult real-world business problems.

You're familiar with areas of marketing data science where beyond-human scale, advanced experimentation and machine learning capabilities are used for achieving marketing performance, for example, DMP's in display advertising, Multivariate Testing, Statistical Significance Evaluation

You've got excellent written and verbal communication skills for team and customer interactions – specifically, you're a genius at communicating results and the value of complex technical solutions to a non-technical audience.

You have 3+ years related work experience and proven track record in tech, consulting, or digital marketing agency, with experience delivering sophisticated analytical capabilities

You've got a Bachelor's or Graduate degree in a technical discipline (Engineering, Applied Mathematics, Statistics, Computer Science, Business, or other quantitative majors)

Amplero is an equal opportunity employer and we value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.



Local candidates preferred.


cuXTCPOrZ7","Seattle, WA",data scientist,5,Seattle, WA
Groupon,"At Groupon, data drives our decisions. We are looking for a Data Scientist who will join an influential team to guide the Groupon Goods product roadmap by deriving meaningful insights from the wealth of data we have from our customers, logistics networks and suppliers. You will be building machine learning models which empowers supply intelligence, pricing intelligence and recommendation system. We need an analytics and modeling expert the team can count and you will get to see your work rapidly feed back into the evolution of our products.

You’ll spend time on the following:


Synthesize raw data into recommendations on how products should evolve
Build machine learning algorithms to enable decision making in order to optimize customer experience/reduce cost/maximize profits or customer value
Work with product management and engineering and operations teams to develop KPIs for new features and instrumentation to quantify the adoption of new product initiatives
Quantify the value of existing product improvements or the potential value of new product hypotheses.
Design and support large-scale multivariate tests to prove out new ideas
Create product scorecards for teams and managers to track product performance, business impact and discover opportunities
Deep-dive analyses to identify root causes of product or operational issues
Design both the business logic and the technical specifications to extract key data elements from a data warehouse


We’re excited about you if you have:


BS or MS degree in Computer Science, Statistics, Mathematics, Economics or similar quantitative field, with an emphasis on predictive analytics, data mining, statistics, machine learning, algorithms, etc.
2-3 years of data science experience working closely with product and engineering
Ability to translate business objectives and problems into analytical problems, and use quantitative/qualitative skills to deliver simple, logical and actionable solutions.
Experience with data visualization (such as Tableau) and presentation
Knowledge in R, Python
Proficiency with SQL, Hadoop, or other Map/Reduce (or other scripting languages)
Proven ability to own data science initiatives end-to-end
Ability to build predictive modeling such as time series, k-nearest neighbors, random forests, ensemble methods
Understanding of applied math topics, such as probability and statistics, linear algebra, basic optimization techniques, etc.
Ability to understand and use software engineering techniques - parsing through data logs, leading instrumentation specifications and implementation, using and rewriting APIs, integrating APIs with data tools, knowledge and integration through machine learning platforms

Groupon’s purpose is to build strong communities through thriving small businesses. To learn more about the world’s largest local ecommerce marketplace, click here for the latest Groupon news. Plus, be sure to check out the values that shape our culture, guide our strategy and make our company a great place to work. And just don’t take our word for it. Hear from real Groupon team members and learn more about our employee resource groups. If all of this sounds like something that’s a great fit for you, then click apply and let’s see where this takes us.","Seattle, WA",data scientist,5,Seattle, WA
BOEING,"At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the sea bed to outer space, youll learn and grow, contributing to work that shapes the world. Find your future with us.

Job Description:

This position supports managed programs demand forecasting for off platform, as well as 787 programs and is part of the Forecasting and New Business team. The position performs defined data analytics tasks to meet business objectives. Applies standard methods and algorithms, validates results and performs necessary data preparation steps for Boeing Global Services in Seattle, WA.

Primary responsibilities:

To be successful in this position, the selected candidate must enjoy working in a fast-paced, dynamic environment and have a positive and flexible attitude. Other job responsibilities/ duties include (but not limited to):

Creating statistical and predictive demand forecasts for aftermarket parts, in support of new business campaigns as well forecasting for campaigns that are already implemented and in execution.Working with cross functional teams including engineering, supplier management and asset management, and will be expected to gather, analyze, and synthesize data from multiple sources to create forward looking inventory requirements.Communicating and explaining complex analyses in a practical and easily understandable manner is essential.

Basic Qualifications (Required Skills and Experience):

Employer will not sponsor applicants for employment visa statusBachelors DegreeExperience in programming any language such as SQL OR SAS OR Python OR R OR any other

Preferred Qualifications (Desired Skills/Experience):

Have demand forecasting or simulation experience.Have a STEM (science, technology, engineering or mathematics), strategy, business planning, or market analysis background or STEM degree.Have quantitative skills and experience in supply chain management

Typical Education/Experience:

Education/experience typically acquired through advanced technical education (e.g. Bachelor) or an equivalent combination of technical education and experience.

This position is located in a location that does not offer relocation. Candidates must live in the immediate area or relocate at their own expense.

Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.","Seattle, WA",data scientist,3,Seattle, WA
Bridge Partners,"We are seeking a Data Analyst to join our fast-growing, customer-focused team.

Are you curious about data, someone who loves not only to analyze it but also to discuss and communicate results with a variety of audiences? Can you think creatively about how data can be used to tackle problems? As a Data Analyst at Bridge Partners, you are responsible for improving customers' ability to make decisions via thoughtful analysis of data assets. This includes understanding a meaningful set of business questions/scenarios and understanding how to derive the most valuable insights. Also critical to this role is determining when a data set is not sufficient to answer a particular question or produce a metric. You will partner with internal and client teams as an expert in “mining the data” for pieces of information that provide extended or unique perspectives to business decision makers. You will know what methods should be tested or used and can prioritize analysis to derive informative outcomes within a reasonable timeline.

Essential duties and responsibilities:

Partner directly with internal teams (BI Architects, Practice Director, Client Directors) to deliver analytics products and services.Anticipate and answer critical business questions and opportunities and deliver insights in ways that make significant impacts.Prioritize and sequence analytical approaches to improve the likelihood of finding interesting and meaningful insights early in the analysis phase.Actively communicate progress and status of analysis, including summarizing findings for technical and nontechnical audiences.Use in-depth knowledge of data hygiene and ability to implement strategies to tackle common issues.Build systemic and automated processes and tools that allow the team to rapidly scale and onboard new data sets.

Required skills, knowledge, and abilities:

Creative ideas on how data can assist in answering questions.Excellent ability to assess the quality of a given data set and understand the potential correlation to business problems.Proven knowledge of various methods of data analysis, from simple summary statistics to multivariate or predictive approaches.Confidence to present analysis findings alongside the Practice Director, Client Director, and other team members.Capability to ask clarifying questions and/or explain results clearly in client meetings.High level of flexibility as new business questions or data sets become relevant.Excellent knowledge of data analysis methodologies, from generating summary statistics to identifying trends over time dimensions to correlations and multivariate analysis.Ability to summarize findings into PowerPoint or other client briefing formats for both technical and nontechnical audiences.Thorough knowledge of data-quality issue identification and management; ability to proactively identify key data issues that impact the overall quality of resulting insights.Curiosity about data and the stories that can be crafted, with an eye for accuracy and common-sense outcomes.

Systems knowledge:

Thorough knowledge of Excel.Extensive experience with at least one database platform (e.g., SQL server, AWS, Azure, Hadoop) and knowledge of how to extract data from those platforms.Knowledge of BI and/or advanced analytics use cases and common approaches.Experience with R or Python is preferred.

Education and experience:

Bachelor’s degree in BI, analytics, data science, economics, or related field.5+ years of hands-on experience with one or more BI tools (e.g., Power BI, Excel, Tableau, Domo).3+ years in a consultative role (either with a firm or as an internal consultant to various business groups) that required understanding a business problem before designing or redesigning a solution.A portfolio of previous work that demonstrates thoughtful analysis and the ability to produce insight related to a business problem.

Bridge Partners is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Bellevue, WA",data analyst,2,Bellevue, WA
University of Washington,"Notes: As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.

For more information on the eScience Institute, visit the eScience website.

As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for five consecutive years.

The eScience Institute at the University of Washington is seeking outstanding candidates for the position of Data Scientist (Research Scientist 4). The ideal candidate will have expertise in one or more areas related to data science (machine learning, statistics, databases, large-scale data systems, visualization, and interfaces that facilitate large-scale data understanding), demonstrated experience in software engineering and open-source software, and demonstrated ability to use these skills to solve problems in an applied domain discipline. Aimed at top-notch candidates, this position offers the opportunity for world-class applied research – in collaboration with some of the best researchers in the world – tackling challenging data science problems in multiple domains.

The eScience Institute’s mission is to engage researchers across disciplines in developing and applying advanced computational methods and tools to real world problems in data-driven science and research. With a newly announced sustainable core funding from the University of Washington and existing external funding from the Gordon and Betty Moore and the Alfred P. Sloan Foundations, we are significantly advancing our mission.

In this role, the Data Scientist will both plan and execute data science research, translate research results into solutions and produce practical applications that will deliver lasting impact across domains. Data Scientists are expected to teach data science skills and methods through office hours, technical workshops, tutorials, and Incubator projects. Research projects will be sourced through joint collaborations with eScience faculty and other researchers, and through the independent research goals of the applicant. Working as part of an existing team, successful candidates will have ample opportunity to publish their research, pursue external funding with collaborators across disciplines, and contribute to collaborative software development, innovative technical consulting, development and delivery of training, and other activities designed to advance the research and practice of data-driven and data-intensive discovery across fields.

Successful candidates will have demonstrable experience in one or more applications of data science techniques and technologies – e.g. databases and data management technologies, machine learning and modern statistical methods, or data presentation and visualization.

RESPONSIBILITIES:

Contribute to open source software projects using appropriate technologies in large-scale data management, machine learning and statistics, interactive visualization, specialized data presentation interfaces, and/or other data science technique:
Produce research products such as well-documented algorithms and code, software, and research publications.
Contribute to the Institute research program by seeking grants from both traditional agencies and novel channels to develop analytical and computational tools. May serve as the principle investigator (PI) or Co-PI on the projects funded by grants.
Work to release open source software and open data, help ensure scientific reproducibility of all results, and contribute to a “culture of reproducibility” across campus.
Review and evaluate potential projects for technical merit and feasibility.
Occasionally organize and conduct workshops and training events in data science techniques and technologies for diverse target audiences.
Meet with potential collaborators to clarify goals, identify collaboration opportunities and recommend solutions.
Participate in Institute sponsor reporting and annual retreat activities.
Prepare and deliver presentations on significant results, both internally and externally, representing the eScience Institute as well as specific projects.
Develop web materials communicating significant results, best practices and case studies with specific technologies, and documentation for significant software.
Help advance a reputation outside of UW for excellence in data science methods and practice, contributing to the Institute’s overall portfolio of successful projects and programs.

REQUIREMENTS:

Master’s degree in any discipline, with a strong computational background.
A minimum of 4 years of experience in programming and software engineering and/or advanced statistical methods including experience:
Applying (at least) one programming language to construct full scientific pipelines, from data ingestion / clean-up to modeling, to visualization and analysis.
Collaborating and coordinating work via an online platform, such as GitHub, GitLab, or BitBucket, and distributed revision control.
Skills to communicate complex information in a clear and concise manner both verbally and in writing
Strong capacity for teamwork, collaborative, critical thinking, and attention to detail.


Equivalent education/experience will substitute for all minimum qualifications except when there are legal requirements, such as a license/certification/registration.

DESIRED EXPERIENCE

PhD in any discipline, with a strong computational background
A successful research track record, especially through collaborations outside one’s own field, as evidenced by joint publications, joint grants, and collaborative software outputs
Leadership in collaborative projects in open source software development
Experience engaging with highly technical researchers across a variety of methodological fields, research domains, and computational platforms.
Experience with seeking extramural funding to support research, education and training programs.

Application Process:

The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.

The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.

The University of Washington is an equal opportunity, affirmative action employer. To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu.","Seattle, WA",data scientist,5,Seattle, WA
Microsoft,"Are you interested in building a state-of-art fraud detection system that protects billions of dollars eCommerce transactions each year? Are you excited about working with talented engineers and scientists on highly scalable and exceptionally reliable online services as well as offline big data analytics? How about fighting ever changing fraud patterns on daily basis? If so, please read on.

The Business Application Group is building the foundations to drive business results with next-generation, multi-channel applications that infuse artificial intelligence (AI), mixed reality, social, and mobile capabilities for rapid innovation and enable people to do their best work by unifying relationships, processes, and data with comprehensive business applications connected through a common Microsoft cloud platform.

We are the Risk Data Science Team under Business Application Group. Our anti-fraud platform leverages the newest technology from advanced Microsoft ML platforms such as Azure ML, CNTK, TLC, Spark etc. It's a unique combination of best in class data science and cutting-edge technology running in the modern cloud.

Responsibilities

We are looking for a strong data scientist who is self-motivated and an excellent team player. Working on the Risk Data Science Team means continuous learning. We are always in search for new ways to process data, create comprehensive features and build advanced ML models to identify frauds. We evaluate and experiment with new technology every day. As such, candidates being passionate about technology overall, deep understanding of fundamentals and embracing continuous learning can sometimes be more important than prior experience with prior technology.

Qualifications

Basic Qualifications:

MS or Ph.D in Computer Science, Electrical Engineer, Statistics, Mathematics, Economics (Relevant work experience can substitute)
2+ years in transaction analytic data scientist roles with experience of building machine learning models, preferred for fraud detection modeling experience.
2+ years’ coding experience in any modern data science languages, python, spark, perl, sql, R, etc.
Exceptional coding skills in one of the following C++, C# or Java or similar

Preferred Qualifications:

Familiar with the whole life cycle for fraud model or transaction analytic modeling building
Advanced ML models, such neural network, GBDT and DNN


Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","Redmond, WA",data scientist,5,Redmond, WA
Amazon,"Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.Major responsibilities include:Translate / Interpret:· Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data.Measure / Quantify/Expand· Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.· Analyze historical data to identify trends and support decision making.· Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.· Provide requirements to develop analytic capabilities, platforms, and pipelines.· Apply statistical or machine learning knowledge to specific business problems and data.Explore / Enlighten· Formalize assumptions about how our systems are expected to work, create statistical definition of the outlier, and develop methods to systematically identify these outliers. Work out why such examples are outliers and define if any actions needed.· Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes.Make Decisions or Recommendations· Build decision-making models and propose solution for the business problem you defined· Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.· Utilize code (python or another object oriented language) for data analyzing and modeling algorithmsBasic Qualifications·  · MS with 2+ years of industry experience or Bachelors with 5+ years of experience in Quantitative field (CS, ML, Mathematics, Statistics, Physics) · 3+ years of experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab) · Experience in creating data driven visualizations to describe an end-to-end system · Highly skilled in data and math/statistical methods (i.e. modeling, algorithms) · Evidence of using of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. in data analysis projectsPreferred Qualifications· Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools.· Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customers organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Experience in advertising is a plusAmazon is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","Seattle, WA",data scientist,5,Seattle, WA
Rakuten,"We are looking for an experienced data scientist to help
extend the capabilities of our product catalog platform. This is an opportunity
to apply advanced ML techniques and make a difference to one of the largest
product catalogs in the world. 
 
Key Responsibilities: • Data mining using off the shelf and researched methods
• Design and maintain highly scalable data systems
(Hadoop, Spark, TensorFlow)
• Work with engineers to bring research prototypes into
production to perform at massive scale
• Design and develop ML solutions for entity extraction,
taxonomy generation and product classification using text and image-bases
features.
• Selecting features, building and optimizing machine
learning models
• Processing, cleansing, and verifying the integrity of
data used for analysis
• Doing ad-hoc analysis and presenting results in a clear
manner
 
Required Skills: • 1+ years of software development• 5+ years of data science work• Strong communication skills• Proficient with SQL or variants• Data-oriented personality
• Can work closely with engineers, data scientists and
researchers
• Excellent understanding of common machine learning
techniques
• Highly Experienced with at least one data science
toolkit 
• Good applied statistics skills, such as distributions,
statistical testing, regression, etc.
 
 
Preferred Skills: • Knowledge of graph-based models a plus• Solid engineering and design skills• Strong knowledge of Spark
• Experience with data visualization tools, such as
D3.js, GGplot, or matplotlib etc.
• Good scripting and programming skills Java or Scala
preferred

","Seattle, WA",data scientist,1,Seattle, WA
Thunder,"Data Scientist / Data Engineer (Bellevue, WA)

Location: Bellevue, Washington, United States

Full-timeAllows Remote

The New York Times describes Thunder as ""an ad engine to put Mad Men out of business."" We're changing how digital ads are created and distributed by automating much of what people thought couldn't be done by computer. Our technology retrieves all relevant content about an advertiser across the web to intelligently design a beautiful set of ads for desktop, tablet, and mobile devices all in under a minute.

THE JOB

Thunder is looking for a talented Data Scientist with a track record working with Big Data and Distributed Systems to manage a cutting-edge infrastructure used by the world’s largest digital advertisers. We’re using Big Data in groundbreaking ways to uncover customer insights, personalize customer experiences and fix digital advertising. You will contribute as a key member of the Product Engineering team where you will be driving product and engineering innovation to better leverage Thunder's growing personal graph. We are looking for a self-starter who thrives with ambiguity and loves solving challenging problems.

RESPONSIBILITIES

Design and develop Big Data and real-time analytics solutions using industry standard technologies

Collaborate with internal business and product teams to identify product features that can be powered by advanced data analytics

Use various machine learning and statistical techniques to analyze data, build models and identify requirements for operationalizing those models into production services

Work with external customers on challenging data analysis problems

QUALIFICATIONS

Ideal candidates will have hands-on, operational experience building and operating large-scale data analytics services and thrive working in a fast-paced startup environment.

5 -7 years of hands-on experience with using advanced statistics techniques and machine learning to build operational production services

Strong understanding of machine learning, recommendation systems, predictive analytics, and multivariate analysis

Strong computer science fundamentals including data structures, algorithms, distributed systems and common design patterns

Strong database and data engineering experience with hands-on experience building services that leverage a variety of database systems including SQL, Redshift Spectrum, Druid, Hadoop, Hive, HBase, Spark, Kafka, AWS Kinesis, MongoDB

B.S. or M.S. in Computer Science, Computer Engineering, Mathematics, Statistics, Applied Mathematics or related experience","Bellevue, WA",data engineer,1,Bellevue, WA
WideNet Consulting,"
Job DescriptionRole Summary

The Data Scientist translates business strategy into advanced analytical experiments and models that blend data sources for creative insights into business problems and to align performance with the company’s strategic goals, detailed action plans, key performance indicators, and progress metrics. This includes refining the end to end process from data ingestion, extract, profile, validation, cleansing, resolving data engineering challenges to modeling, training data, deploying the model as a REST endpoint, and general production.

Scope & Complexity

This individual contributor is a subject matter expert with the technical proficiency and knowledge of relational database concepts needed to lead strategic projects and performance across such areas as pricing, inventory control, distribution, e-commerce, scheduling, and network planning. This role defines the long-term strategy for data service offerings to the business and exercises considerable latitude and initiative to solve complex problems. Responsibilities include data analysis, demand modeling and research, optimization, and solution design/delivery.

Responsibilities:

Participates as the lead data and business information subject matter expert in the development of requirements and solutions for leadership, strategy, and Information Technology Services (ITS) data.
Exercise considerable latitude and initiative to solve for continuous improvement processes through data-driven analysis, reporting, and goal setting to drive incremental improvement for key areas.
Manage the full data lifecycle, including data collection, data mining, data integration, data analysis, extracting insights, and results visualization.
Investigate, research, and combine new and disparate large-scale data sources and analytical tools to enhance and/or extend the data-driven business process.
Develop and implement systems and technology to produce decision support tools that enable leaders and system practitioners to take strategic action in a dynamic competitive environment.
Collaborate with analysts in the business and infrastructure team to create an environment that enable data discovery, model training, and running predictions.
Set up patterns and framework to enable building data models in a repeatable and self-serve manner.
Productionize models in Cloud environment, which would include, but not limited to: automated processes, CI/CD pipelines, monitoring/alerting, and troubleshooting issues. Present the model and results to technical and non-technical audience
Select and apply the best supervised and unsupervised machine learning methods to develop insight and answers to business questions.
Develop visualizations grounded in statistical best practices that facilitate effective communication of results and key findings to internal and external customers; including technical and non-technical audience.
Select and influence the best methodologies to approach business problems; contributing to the continuous improvement of stakeholder processes and data life-cycle.
Coordinate with stakeholders and ITS on the integration and support of business systems.

Qualifications:

Required



A minimum of 7 years of experience in analytical role.
A Bachelor’s degree, preferably with a focus in mathematics, economics, operations research, finance, statistics, business, computer science, or technical/engineering.
Advanced SQL skills.
Basic database design, staging data, filtering, data preparation; experience using databases such as Oracle, SQL Server, etc.
Experience coding in Python or R.
Expert in visualization techniques; experience using data visualization tools such as Tableau, Power BI, etc.
Experience developing optimization/simulation models.
Expert in descriptive and diagnostic statistics (including Bayesian stats), sampling methodology, residuals analysis / ANOVA, hypothesis / significance testing, and experimental design.
Modeling proficiency in unsupervised and supervised machine learning, such as linear and logistic regression, KNN, cluster analysis, and Neural networks.
Demonstrated project management experience.
Ability to work well with multiple, diverse teams.
Experience with Spark, Hive, calling and building APIs
Experience with machine learning models – know when to use what, pros/cons of each model
Experience with productionizing machine learning models
Experience working with cross functional teams (infrastructure engineers, data engineers, data scientists, business analysts, product owners, software engineers)


Preferred



Familiarity with Azure offerings: such as Azure Databricks, Azure Machine Learning Service, Azure Datalake Store, Azure Cosmos DB, Azure Data Factory, and Azure functions
Familiar with various data transformation and visualization tools, such as Tableau, Power BI, PySpark, and Presto
Understand how to use various file types efficiently, such as csv, json, xml, parquet, and delta
Scala and C# experience
High-level programming language experience.
A Master’s degree or a Ph.D.



Reference Number: 5276
apply now

","Bellevue, WA",data scientist,5,Bellevue, WA
Starbucks,"Now Brewing – Data Scientist, Workforce Manager - Operations Analytics #tobeapartner

From

the beginning, Starbucks set out to be a different kind of company. One that

not only celebrated coffee and the rich tradition, but that also brought a

feeling of connection.

Job Summary and Mission

This

job contributes to Starbucks success by guiding business decisions through

utilizing data analysis and consulting that results in predicting outcomes,

understanding complex data relationships, and developing a quantitative return

on investment. This position partners on

a cross-functional team of data scientistis, decision scientists and data

analysts supporting strategic initiatives utilizing the latest in computing

technologies and operating across customer transactions and data elements to

unlock the opportunities to support our global business.

Models and acts in accordance

with Starbucks guiding principles.

Summary of Key Responsibilities

Responsibilities and essential job

functions include but are not limited to the following:

Use statistical, machine learning techniques to build models

that address business needs.Extracts data from various data sources; performs exploratory data

analysis, cleanses, massages, and aggregates data Work cross functionally with other data scientists,

statisticians, and business analysts to define business problems and implement

solutions.Employ scaling & automation to data preparation techniques Connects insights to business decision

making options and next steps testing or research opportunities Understands business initiatives and serves as primary analytic resource

in discussions with business partners to define business questions Drives creation of final insights

package and recommendations; leads presentation Directs analytic component of implementation

of insights into business processes and ensures appropriate testing takes place
Develops project proposals, gains stakeholder

buy-in, and ensures timelines are metPromotes and advocates value of

advanced analytics to solve business problems within department

Basic QualificationsEducation:

BS with concentration in quantitative discipline - Stats, Math, Comp Sci,

Engineering, Econ, Quantitative Social Science or similar discipline

Minimum

of 2 years industry experience in data science

Strong background working with

predictive and statistical modeling, machine learning and strong expertise in

all phases of the modeling pipeline

Experience building complex data sets

from multiple data sources, both internally and externally.

Strong SQL, databases and ETL skills

required including cleaning and managing data.

Advanced

competency and expertise in Python, R or some combination

Ability

to apply knowledge of multidisciplinary business principles and practices to

achieve successful outcomes in cross-functional projects and activities

Ability

to educate others on statistical / machine

learning methods

Self-starter, attention to details and

results orientated, able to work under minimal guidance.

Proficient in communicating effectively

with both technical and nontechnical stakeholders.
Preferred Qualifications


MS/PhD

preferredAdvanced

competency and expertise in statistical modelling and machine learning

(regression, tree based models, deep learning, survival analysis, cluster

analysis, forecasting, anomaly detection, association rules, optimization

routines, etc.) with exposure and business-applicable experience in additional

techniquesExperience designing and implementing

scalable ETL design and mappings and data warehousing skillsProficiency on Cloud platforms such as

Azure, AWSExperience

using enterprise data visualization software (Tableau or PowerBI)Experience working with distributed

data processing frameworks such as Spark and Data bricks, and languages such as

Java, PySpark or ScalaRetail,

customer loyalty, and eCommerce experience, preferred
Core Competencies

Puts

the Customer First: Has a

relentless focus on the customer. Understands what the customer wants and

how to best deliver the experience.

Works

Well with Others: Listens and

communicates well with others within and outside of Starbucks. Creates a team

environment that is positive and productive.

Leads

Courageously: Takes personal

responsibility to do the right thing, and persists in times of challenge or

uncertainty. Adapts quickly to change and makes timely, thoughtful decisions.

Develops

Continuously: Continuously seek

opportunities to improve self and others. Leads with trust, honesty and

commitment to hire, coach and develop partners to achieve their potential.

Achieves Results: Understands what drives overall

business success and is accountable to prioritize and deliver quality results.

Demonstrates knowledge of core products and processes to get results.

Anticipates obstacles and takes action to prevent or minimize their impact.
Starbucks and its brands are an equal opportunity employer of all qualified individuals.

We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA , veterans and persons with disabilities are encouraged to apply.

Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at 206-318-0660 or via email at applicantaccommodation@starbucks.com","Seattle, WA",workforce manager,5,Seattle, WA
